,ì˙ç≈çÇãCâ∑ÇÃïΩãœ(Åé),ì˙ïΩãœãCâ∑25Åéà»è„ì˙êî(ì˙),ç~êÖó ÇÃçáåv(mm),ïΩãœéºìx(Åì),yyyymm,340 ÇÊÇ§Ç©ÇÒÅyâ~Åz,341 Ç‹ÇÒÇ∂Ç„Ç§Åyâ~Åz,342 ëºÇÃòaê∂âŸéqÅyâ~Åz,343 ÉJÉXÉeÉâÅyâ~Åz,344 ÉPÅ[ÉLÅyâ~Åz,347 É[ÉäÅ[Åyâ~Åz,348 ÉvÉäÉìÅyâ~Åz,345 ëºÇÃómê∂âŸéqÅyâ~Åz,350 ÇπÇÒÇ◊Ç¢Åyâ~Åz,346 ÉrÉXÉPÉbÉgÅyâ~Åz,357 ÉXÉiÉbÉNâŸéqÅyâ~Åz,349 ÉLÉÉÉìÉfÅ[Åyâ~Åz,352 É`ÉáÉRÉåÅ[ÉgÅyâ~Åz,353 É`ÉáÉRÉåÅ[ÉgâŸéqÅyâ~Åz,356 ÉAÉCÉXÉNÉäÅ[ÉÄÅEÉVÉÉÅ[ÉxÉbÉgÅyâ~Åz,359 ëºÇÃâŸéqÅyâ~Åz,year,month,days,340 ÇÊÇ§Ç©ÇÒÅyâ~/ì˙Åz,341 Ç‹ÇÒÇ∂Ç„Ç§Åyâ~/ì˙Åz,342 ëºÇÃòaê∂âŸéqÅyâ~/ì˙Åz,343 ÉJÉXÉeÉâÅyâ~/ì˙Åz,344 ÉPÅ[ÉLÅyâ~/ì˙Åz,347 É[ÉäÅ[Åyâ~/ì˙Åz,348 ÉvÉäÉìÅyâ~/ì˙Åz,345 ëºÇÃómê∂âŸéqÅyâ~/ì˙Åz,350 ÇπÇÒÇ◊Ç¢Åyâ~/ì˙Åz,346 ÉrÉXÉPÉbÉgÅyâ~/ì˙Åz,357 ÉXÉiÉbÉNâŸéqÅyâ~/ì˙Åz,349 ÉLÉÉÉìÉfÅ[Åyâ~/ì˙Åz,352 É`ÉáÉRÉåÅ[ÉgÅyâ~/ì˙Åz,353 É`ÉáÉRÉåÅ[ÉgâŸéqÅyâ~/ì˙Åz,356 ÉAÉCÉXÉNÉäÅ[ÉÄÅEÉVÉÉÅ[ÉxÉbÉgÅyâ~/ì˙Åz,359 ëºÇÃâŸéqÅyâ~/ì˙Åz
23,13.7,0,145.5,50,201012,98,137,914,105,1336,79,134,746,574,329,387,218,432,133,423,2363,2010,12,31,3.161290322580645,4.419354838709677,29.483870967741936,3.3870967741935485,43.096774193548384,2.5483870967741935,4.32258064516129,24.06451612903226,18.516129032258064,10.612903225806452,12.483870967741936,7.032258064516129,13.935483870967742,4.290322580645161,13.64516129032258,76.2258064516129
24,9.1,0,3.5,36,201101,44,120,680,74,556,73,121,597,407,239,327,195,457,107,346,1735,2011,1,31,1.4193548387096775,3.870967741935484,21.93548387096774,2.3870967741935485,17.93548387096774,2.3548387096774195,3.903225806451613,19.258064516129032,13.129032258064516,7.709677419354839,10.548387096774194,6.290322580645161,14.741935483870968,3.4516129032258065,11.161290322580646,55.96774193548387
26,12.3,0,74.0,47,201103,28,115,864,89,596,123,120,603,489,351,406,217,397,134,329,1773,2011,3,31,0.9032258064516129,3.7096774193548385,27.870967741935484,2.870967741935484,19.225806451612904,3.967741935483871,3.870967741935484,19.451612903225808,15.774193548387096,11.32258064516129,13.096774193548388,7.0,12.806451612903226,4.32258064516129,10.612903225806452,57.193548387096776
27,18.9,0,96.0,50,201104,34,148,868,82,517,153,122,572,461,254,363,190,289,103,462,1603,2011,4,30,1.1333333333333333,4.933333333333334,28.933333333333334,2.7333333333333334,17.233333333333334,5.1,4.066666666666666,19.066666666666666,15.366666666666667,8.466666666666667,12.1,6.333333333333333,9.633333333333333,3.433333333333333,15.4,53.43333333333333
28,22.2,0,213.5,63,201105,58,146,889,95,512,196,137,593,467,266,357,184,263,86,672,1648,2011,5,31,1.8709677419354838,4.709677419354839,28.677419354838708,3.064516129032258,16.516129032258064,6.32258064516129,4.419354838709677,19.129032258064516,15.064516129032258,8.580645161290322,11.516129032258064,5.935483870967742,8.483870967741936,2.774193548387097,21.677419354838708,53.16129032258065
29,26.0,7,116.5,71,201106,82,96,597,56,422,240,136,485,391,238,321,162,194,78,791,1375,2011,6,30,2.7333333333333334,3.2,19.9,1.8666666666666667,14.066666666666666,8.0,4.533333333333333,16.166666666666668,13.033333333333333,7.933333333333334,10.7,5.4,6.466666666666667,2.6,26.366666666666667,45.833333333333336
30,30.9,27,54.5,67,201107,98,92,638,54,384,400,123,491,371,216,322,157,160,58,1265,1505,2011,7,31,3.161290322580645,2.967741935483871,20.580645161290324,1.7419354838709677,12.387096774193548,12.903225806451612,3.967741935483871,15.838709677419354,11.96774193548387,6.967741935483871,10.387096774193548,5.064516129032258,5.161290322580645,1.8709677419354838,40.806451612903224,48.54838709677419
31,31.2,26,244.0,71,201108,128,138,797,68,436,337,140,513,467,304,327,153,156,67,1241,1978,2011,8,31,4.129032258064516,4.451612903225806,25.70967741935484,2.193548387096774,14.064516129032258,10.870967741935484,4.516129032258065,16.548387096774192,15.064516129032258,9.806451612903226,10.548387096774194,4.935483870967742,5.032258064516129,2.161290322580645,40.03225806451613,63.806451612903224
32,28.8,17,235.0,68,201109,51,120,757,57,470,148,121,482,366,240,302,159,210,80,767,1451,2011,9,30,1.7,4.0,25.233333333333334,1.9,15.666666666666666,4.933333333333334,4.033333333333333,16.066666666666666,12.2,8.0,10.066666666666666,5.3,7.0,2.6666666666666665,25.566666666666666,48.36666666666667
33,23.0,0,119.5,61,201110,42,143,668,58,522,97,130,529,408,261,320,201,310,112,516,1517,2011,10,31,1.3548387096774193,4.612903225806452,21.548387096774192,1.8709677419354838,16.838709677419356,3.129032258064516,4.193548387096774,17.06451612903226,13.161290322580646,8.419354838709678,10.32258064516129,6.483870967741935,10.0,3.6129032258064515,16.64516129032258,48.935483870967744
34,18.3,0,112.5,58,201111,45,122,670,65,549,83,117,532,412,286,329,204,356,117,393,1540,2011,11,30,1.5,4.066666666666666,22.333333333333332,2.1666666666666665,18.3,2.7666666666666666,3.9,17.733333333333334,13.733333333333333,9.533333333333333,10.966666666666667,6.8,11.866666666666667,3.9,13.1,51.333333333333336
35,11.1,0,59.5,48,201112,87,139,854,98,1384,81,121,757,566,329,378,208,463,128,423,2347,2011,12,31,2.806451612903226,4.483870967741935,27.548387096774192,3.161290322580645,44.645161290322584,2.6129032258064515,3.903225806451613,24.419354838709676,18.258064516129032,10.612903225806452,12.193548387096774,6.709677419354839,14.935483870967742,4.129032258064516,13.64516129032258,75.70967741935483
36,8.3,0,50.0,43,201201,48,124,687,90,551,77,122,595,395,255,322,193,461,118,339,1806,2012,1,31,1.5483870967741935,4.0,22.161290322580644,2.903225806451613,17.774193548387096,2.4838709677419355,3.935483870967742,19.193548387096776,12.741935483870968,8.225806451612904,10.387096774193548,6.225806451612903,14.870967741935484,3.806451612903226,10.935483870967742,58.25806451612903
38,12.5,0,144.5,59,201203,42,128,967,89,637,116,125,666,509,397,382,203,408,122,385,1958,2012,3,31,1.3548387096774193,4.129032258064516,31.193548387096776,2.870967741935484,20.548387096774192,3.7419354838709675,4.032258064516129,21.483870967741936,16.419354838709676,12.806451612903226,12.32258064516129,6.548387096774194,13.161290322580646,3.935483870967742,12.419354838709678,63.16129032258065
39,18.5,0,118.5,63,201204,36,114,770,85,509,146,118,582,458,286,376,176,289,97,524,1631,2012,4,30,1.2,3.8,25.666666666666668,2.8333333333333335,16.966666666666665,4.866666666666666,3.933333333333333,19.4,15.266666666666667,9.533333333333333,12.533333333333333,5.866666666666666,9.633333333333333,3.2333333333333334,17.466666666666665,54.36666666666667
40,23.6,0,231.0,65,201205,55,144,895,68,534,199,129,572,447,283,355,179,277,86,671,1706,2012,5,31,1.7741935483870968,4.645161290322581,28.870967741935484,2.193548387096774,17.225806451612904,6.419354838709677,4.161290322580645,18.451612903225808,14.419354838709678,9.129032258064516,11.451612903225806,5.774193548387097,8.935483870967742,2.774193548387097,21.64516129032258,55.03225806451613
41,24.8,1,185.0,73,201206,91,104,628,61,424,258,129,530,414,267,328,164,211,81,798,1465,2012,6,30,3.033333333333333,3.466666666666667,20.933333333333334,2.033333333333333,14.133333333333333,8.6,4.3,17.666666666666668,13.8,8.9,10.933333333333334,5.466666666666667,7.033333333333333,2.7,26.6,48.833333333333336
42,30.1,21,130.0,75,201207,105,97,622,54,397,367,136,453,390,232,318,156,153,71,1165,1589,2012,7,31,3.3870967741935485,3.129032258064516,20.06451612903226,1.7419354838709677,12.806451612903226,11.838709677419354,4.387096774193548,14.612903225806452,12.580645161290322,7.483870967741935,10.258064516129032,5.032258064516129,4.935483870967742,2.2903225806451615,37.58064516129032,51.25806451612903
43,33.1,31,25.0,69,201208,128,136,820,63,414,415,120,558,477,274,348,150,161,63,1332,1957,2012,8,31,4.129032258064516,4.387096774193548,26.451612903225808,2.032258064516129,13.35483870967742,13.387096774193548,3.870967741935484,18.0,15.387096774193548,8.838709677419354,11.225806451612904,4.838709677419355,5.193548387096774,2.032258064516129,42.96774193548387,63.12903225806452
44,29.8,21,214.5,73,201209,45,116,726,71,446,151,113,471,356,225,308,136,213,81,849,1428,2012,9,30,1.5,3.8666666666666667,24.2,2.3666666666666667,14.866666666666667,5.033333333333333,3.7666666666666666,15.7,11.866666666666667,7.5,10.266666666666667,4.533333333333333,7.1,2.7,28.3,47.6
45,23.0,1,154.5,65,201210,43,131,675,67,478,95,117,539,387,255,328,180,333,115,515,1443,2012,10,31,1.3870967741935485,4.225806451612903,21.774193548387096,2.161290322580645,15.419354838709678,3.064516129032258,3.774193548387097,17.387096774193548,12.483870967741936,8.225806451612904,10.580645161290322,5.806451612903226,10.741935483870968,3.7096774193548385,16.612903225806452,46.54838709677419
46,16.3,0,154.0,58,201211,41,104,667,72,517,74,111,513,399,273,329,190,390,132,326,1580,2012,11,30,1.3666666666666667,3.466666666666667,22.233333333333334,2.4,17.233333333333334,2.466666666666667,3.7,17.1,13.3,9.1,10.966666666666667,6.333333333333333,13.0,4.4,10.866666666666667,52.666666666666664
47,11.2,0,69.0,52,201212,85,123,877,98,1375,80,123,701,653,323,402,195,470,138,414,2353,2012,12,31,2.7419354838709675,3.967741935483871,28.29032258064516,3.161290322580645,44.354838709677416,2.5806451612903225,3.967741935483871,22.612903225806452,21.06451612903226,10.419354838709678,12.96774193548387,6.290322580645161,15.161290322580646,4.451612903225806,13.35483870967742,75.90322580645162
48,9.6,0,70.0,47,201301,39,106,681,88,539,74,120,576,438,227,331,169,490,110,363,1728,2013,1,31,1.2580645161290323,3.4193548387096775,21.967741935483872,2.838709677419355,17.387096774193548,2.3870967741935485,3.870967741935484,18.580645161290324,14.129032258064516,7.32258064516129,10.67741935483871,5.451612903225806,15.806451612903226,3.5483870967741935,11.709677419354838,55.74193548387097
50,16.4,0,44.5,55,201303,36,132,1012,97,662,111,121,683,501,391,366,202,444,123,438,1868,2013,3,31,1.1612903225806452,4.258064516129032,32.645161290322584,3.129032258064516,21.35483870967742,3.5806451612903225,3.903225806451613,22.032258064516128,16.161290322580644,12.612903225806452,11.806451612903226,6.516129032258065,14.32258064516129,3.967741935483871,14.129032258064516,60.25806451612903
51,19.2,0,283.0,55,201304,45,126,793,83,479,151,118,581,442,302,376,181,309,117,525,1662,2013,4,30,1.5,4.2,26.433333333333334,2.7666666666666666,15.966666666666667,5.033333333333333,3.933333333333333,19.366666666666667,14.733333333333333,10.066666666666666,12.533333333333333,6.033333333333333,10.3,3.9,17.5,55.4
52,24.1,0,56.0,61,201305,53,131,847,83,513,205,128,611,437,273,365,185,275,99,761,1638,2013,5,31,1.7096774193548387,4.225806451612903,27.322580645161292,2.6774193548387095,16.548387096774192,6.612903225806452,4.129032258064516,19.70967741935484,14.096774193548388,8.806451612903226,11.774193548387096,5.967741935483871,8.870967741935484,3.193548387096774,24.548387096774192,52.83870967741935
53,26.5,3,159.0,74,201306,73,101,630,69,442,284,134,504,402,241,325,167,215,85,878,1449,2013,6,30,2.433333333333333,3.3666666666666667,21.0,2.3,14.733333333333333,9.466666666666667,4.466666666666667,16.8,13.4,8.033333333333333,10.833333333333334,5.566666666666666,7.166666666666667,2.8333333333333335,29.266666666666666,48.3
54,31.4,25,115.5,73,201307,126,79,642,60,390,410,129,512,390,266,321,169,171,77,1234,1535,2013,7,31,4.064516129032258,2.5483870967741935,20.70967741935484,1.935483870967742,12.580645161290322,13.225806451612904,4.161290322580645,16.516129032258064,12.580645161290322,8.580645161290322,10.35483870967742,5.451612903225806,5.516129032258065,2.4838709677419355,39.806451612903224,49.516129032258064
55,33.2,31,99.0,70,201308,126,137,822,75,439,373,129,616,498,322,341,156,174,71,1437,2071,2013,8,31,4.064516129032258,4.419354838709677,26.516129032258064,2.4193548387096775,14.161290322580646,12.03225806451613,4.161290322580645,19.870967741935484,16.06451612903226,10.387096774193548,11.0,5.032258064516129,5.612903225806452,2.2903225806451615,46.354838709677416,66.80645161290323
56,28.8,15,231.5,69,201309,56,113,750,86,461,144,125,515,389,256,331,150,229,98,794,1466,2013,9,30,1.8666666666666667,3.7666666666666666,25.0,2.8666666666666667,15.366666666666667,4.8,4.166666666666667,17.166666666666668,12.966666666666667,8.533333333333333,11.033333333333333,5.0,7.633333333333334,3.2666666666666666,26.466666666666665,48.86666666666667
57,23.0,5,440.0,72,201310,44,99,673,60,473,91,132,527,419,243,333,183,329,117,549,1471,2013,10,31,1.4193548387096775,3.193548387096774,21.70967741935484,1.935483870967742,15.258064516129032,2.935483870967742,4.258064516129032,17.0,13.516129032258064,7.838709677419355,10.741935483870968,5.903225806451613,10.612903225806452,3.774193548387097,17.70967741935484,47.45161290322581
58,17.4,0,26.0,55,201311,50,131,694,67,548,70,114,601,422,286,342,198,389,121,370,1631,2013,11,30,1.6666666666666667,4.366666666666666,23.133333333333333,2.2333333333333334,18.266666666666666,2.3333333333333335,3.8,20.033333333333335,14.066666666666666,9.533333333333333,11.4,6.6,12.966666666666667,4.033333333333333,12.333333333333334,54.36666666666667
59,12.1,0,59.5,52,201312,82,124,881,99,1390,77,111,728,587,335,386,196,495,120,445,2236,2013,12,31,2.6451612903225805,4.0,28.419354838709676,3.193548387096774,44.83870967741935,2.4838709677419355,3.5806451612903225,23.483870967741936,18.93548387096774,10.806451612903226,12.451612903225806,6.32258064516129,15.96774193548387,3.870967741935484,14.35483870967742,72.12903225806451
60,10.6,0,24.5,45,201401,45,104,728,88,526,76,115,571,431,242,309,185,549,115,396,1722,2014,1,31,1.4516129032258065,3.3548387096774195,23.483870967741936,2.838709677419355,16.967741935483872,2.4516129032258065,3.7096774193548385,18.419354838709676,13.903225806451612,7.806451612903226,9.96774193548387,5.967741935483871,17.70967741935484,3.7096774193548385,12.774193548387096,55.54838709677419
62,14.5,0,113.5,52,201403,34,119,978,90,636,106,125,733,555,396,376,204,528,140,447,1964,2014,3,31,1.096774193548387,3.838709677419355,31.548387096774192,2.903225806451613,20.516129032258064,3.4193548387096775,4.032258064516129,23.64516129032258,17.903225806451612,12.774193548387096,12.129032258064516,6.580645161290323,17.032258064516128,4.516129032258065,14.419354838709678,63.354838709677416
63,19.6,0,155.0,56,201404,42,97,802,93,485,142,117,617,465,269,350,165,341,109,520,1583,2014,4,30,1.4,3.2333333333333334,26.733333333333334,3.1,16.166666666666668,4.733333333333333,3.9,20.566666666666666,15.5,8.966666666666667,11.666666666666666,5.5,11.366666666666667,3.6333333333333333,17.333333333333332,52.766666666666666
64,24.7,1,135.5,62,201405,54,110,897,77,516,207,126,589,466,280,374,174,305,103,803,1621,2014,5,31,1.7419354838709677,3.5483870967741935,28.93548387096774,2.4838709677419355,16.64516129032258,6.67741935483871,4.064516129032258,19.0,15.03225806451613,9.03225806451613,12.064516129032258,5.612903225806452,9.838709677419354,3.3225806451612905,25.903225806451612,52.29032258064516
65,26.9,3,311.0,75,201406,67,97,642,66,432,261,116,516,449,253,359,160,227,85,900,1404,2014,6,30,2.2333333333333334,3.2333333333333334,21.4,2.2,14.4,8.7,3.8666666666666667,17.2,14.966666666666667,8.433333333333334,11.966666666666667,5.333333333333333,7.566666666666666,2.8333333333333335,30.0,46.8
66,30.5,22,105.5,74,201407,100,92,585,52,419,368,130,519,390,264,365,158,208,80,1202,1518,2014,7,31,3.225806451612903,2.967741935483871,18.870967741935484,1.6774193548387097,13.516129032258064,11.870967741935484,4.193548387096774,16.741935483870968,12.580645161290322,8.516129032258064,11.774193548387096,5.096774193548387,6.709677419354839,2.5806451612903225,38.774193548387096,48.96774193548387
67,31.2,26,105.0,74,201408,116,128,823,69,498,347,122,611,498,302,391,157,201,84,1238,1921,2014,8,31,3.7419354838709675,4.129032258064516,26.548387096774192,2.225806451612903,16.06451612903226,11.193548387096774,3.935483870967742,19.70967741935484,16.06451612903226,9.741935483870968,12.612903225806452,5.064516129032258,6.483870967741935,2.7096774193548385,39.935483870967744,61.96774193548387
68,26.9,4,155.5,68,201409,50,122,763,64,425,140,122,516,428,260,358,157,274,102,748,1468,2014,9,30,1.6666666666666667,4.066666666666666,25.433333333333334,2.1333333333333333,14.166666666666666,4.666666666666667,4.066666666666666,17.2,14.266666666666667,8.666666666666666,11.933333333333334,5.233333333333333,9.133333333333333,3.4,24.933333333333334,48.93333333333333
69,23.0,1,384.5,67,201410,43,120,646,60,491,94,125,575,429,270,383,195,417,131,570,1554,2014,10,31,1.3870967741935485,3.870967741935484,20.838709677419356,1.935483870967742,15.838709677419354,3.032258064516129,4.032258064516129,18.548387096774192,13.838709677419354,8.709677419354838,12.35483870967742,6.290322580645161,13.451612903225806,4.225806451612903,18.387096774193548,50.12903225806452
70,17.4,0,98.5,63,201411,43,114,714,78,582,70,117,585,497,294,370,197,425,143,419,1688,2014,11,30,1.4333333333333333,3.8,23.8,2.6,19.4,2.3333333333333335,3.9,19.5,16.566666666666666,9.8,12.333333333333334,6.566666666666666,14.166666666666666,4.766666666666667,13.966666666666667,56.266666666666666
71,11.0,0,62.0,55,201412,87,120,962,109,1324,84,115,776,654,403,434,203,548,171,455,2446,2014,12,31,2.806451612903226,3.870967741935484,31.032258064516128,3.5161290322580645,42.70967741935484,2.7096774193548385,3.7096774193548385,25.032258064516128,21.096774193548388,13.0,14.0,6.548387096774194,17.677419354838708,5.516129032258065,14.67741935483871,78.90322580645162
72,10.4,0,92.5,52,201501,44,97,723,76,523,71,108,589,441,259,361,185,559,134,401,1756,2015,1,31,1.4193548387096775,3.129032258064516,23.322580645161292,2.4516129032258065,16.870967741935484,2.2903225806451615,3.4838709677419355,19.0,14.225806451612904,8.35483870967742,11.64516129032258,5.967741935483871,18.032258064516128,4.32258064516129,12.935483870967742,56.645161290322584
74,15.5,0,94.0,57,201503,47,141,996,99,632,108,119,733,552,412,429,204,530,159,480,1998,2015,3,31,1.5161290322580645,4.548387096774194,32.12903225806452,3.193548387096774,20.387096774193548,3.4838709677419355,3.838709677419355,23.64516129032258,17.806451612903224,13.290322580645162,13.838709677419354,6.580645161290323,17.096774193548388,5.129032258064516,15.483870967741936,64.45161290322581
75,19.3,0,129.0,71,201504,31,121,777,73,475,150,123,623,473,294,391,178,334,135,590,1562,2015,4,30,1.0333333333333334,4.033333333333333,25.9,2.433333333333333,15.833333333333334,5.0,4.1,20.766666666666666,15.766666666666667,9.8,13.033333333333333,5.933333333333334,11.133333333333333,4.5,19.666666666666668,52.06666666666667
76,26.4,1,88.0,62,201505,57,123,906,80,537,232,123,669,470,303,385,181,286,111,928,1609,2015,5,31,1.8387096774193548,3.967741935483871,29.225806451612904,2.5806451612903225,17.322580645161292,7.483870967741935,3.967741935483871,21.580645161290324,15.161290322580646,9.774193548387096,12.419354838709678,5.838709677419355,9.225806451612904,3.5806451612903225,29.93548387096774,51.903225806451616
77,26.4,0,195.5,75,201506,78,96,629,66,468,259,124,564,428,269,343,167,268,98,894,1456,2015,6,30,2.6,3.2,20.966666666666665,2.2,15.6,8.633333333333333,4.133333333333334,18.8,14.266666666666667,8.966666666666667,11.433333333333334,5.566666666666666,8.933333333333334,3.2666666666666666,29.8,48.53333333333333
78,30.1,21,234.5,80,201507,114,94,656,59,393,379,129,577,423,274,359,164,213,94,1257,1548,2015,7,31,3.6774193548387095,3.032258064516129,21.161290322580644,1.903225806451613,12.67741935483871,12.225806451612904,4.161290322580645,18.612903225806452,13.64516129032258,8.838709677419354,11.580645161290322,5.290322580645161,6.870967741935484,3.032258064516129,40.54838709677419,49.935483870967744
79,30.5,23,103.5,78,201508,124,147,823,80,468,393,126,630,501,334,394,165,212,98,1384,1972,2015,8,31,4.0,4.741935483870968,26.548387096774192,2.5806451612903225,15.096774193548388,12.67741935483871,4.064516129032258,20.322580645161292,16.161290322580644,10.774193548387096,12.709677419354838,5.32258064516129,6.838709677419355,3.161290322580645,44.645161290322584,63.61290322580645
80,26.4,3,503.5,79,201509,50,125,824,78,466,136,127,571,444,271,359,165,326,107,768,1574,2015,9,30,1.6666666666666667,4.166666666666667,27.466666666666665,2.6,15.533333333333333,4.533333333333333,4.233333333333333,19.033333333333335,14.8,9.033333333333333,11.966666666666667,5.5,10.866666666666667,3.566666666666667,25.6,52.46666666666667
81,22.7,0,57.0,66,201510,47,121,669,64,501,103,128,628,436,280,356,196,413,138,603,1579,2015,10,31,1.5161290322580645,3.903225806451613,21.580645161290324,2.064516129032258,16.161290322580644,3.3225806451612905,4.129032258064516,20.258064516129032,14.064516129032258,9.03225806451613,11.483870967741936,6.32258064516129,13.32258064516129,4.451612903225806,19.451612903225808,50.935483870967744
82,17.8,0,139.5,74,201511,70,112,710,69,583,86,120,615,484,297,364,201,451,139,478,1591,2015,11,30,2.3333333333333335,3.7333333333333334,23.666666666666668,2.3,19.433333333333334,2.8666666666666667,4.0,20.5,16.133333333333333,9.9,12.133333333333333,6.7,15.033333333333333,4.633333333333334,15.933333333333334,53.03333333333333
